epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,2686.7,1.29114,0.82093,1.08842,0.89036,0.82239,0.90687,0.6373,1.06418,0.76192,1.1469,0.0090375,0.0090375,0.0090375
177,2701.92,1.24982,0.78409,1.10316,0.88659,0.81958,0.91936,0.64076,1.03726,0.73748,1.13109,0.009032,0.009032,0.009032
178,2717.11,1.24525,0.81226,1.09608,0.90103,0.83073,0.91994,0.64867,1.04028,0.72967,1.14702,0.0090265,0.0090265,0.0090265
179,2732.26,1.26382,0.8111,1.11222,0.8369,0.8761,0.92209,0.64708,0.99711,0.72989,1.15454,0.009021,0.009021,0.009021
180,2747.6,1.24689,0.83264,1.08795,0.86819,0.83312,0.91893,0.65211,1.00582,0.73238,1.15126,0.0090155,0.0090155,0.0090155
181,2762.81,1.2624,0.82457,1.11154,0.85883,0.85344,0.92141,0.65774,1.01173,0.73611,1.11294,0.00901,0.00901,0.00901
182,2777.98,1.246,0.81179,1.06099,0.8543,0.87101,0.92436,0.65717,1.0133,0.74618,1.09294,0.0090045,0.0090045,0.0090045
183,2793.16,1.29202,0.82573,1.09251,0.86199,0.90318,0.92398,0.6622,1.00046,0.72398,1.14357,0.008999,0.008999,0.008999
184,2808.41,1.27357,0.81022,1.12699,0.86107,0.84103,0.91923,0.64779,1.02541,0.75577,1.13842,0.0089935,0.0089935,0.0089935
185,2823.58,1.25312,0.80855,1.08975,0.88802,0.79963,0.90792,0.64231,1.03518,0.78475,1.15221,0.008988,0.008988,0.008988
