epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,5158.83,1.57868,1.16705,1.15974,0.68157,0.68059,0.72446,0.44622,0.92032,0.85862,0.8628,0.00980992,0.00980992,0.00980992
98,5211.67,1.57558,1.16603,1.16618,0.71412,0.69546,0.73055,0.45175,0.90574,0.8718,0.87117,0.00980794,0.00980794,0.00980794
99,5264.64,1.57485,1.18168,1.18178,0.71308,0.6865,0.72099,0.45625,0.94223,0.8793,0.88053,0.00980596,0.00980596,0.00980596
100,5317.48,1.5755,1.18588,1.14331,0.72963,0.67376,0.73681,0.46504,0.92407,0.86472,0.88436,0.00980398,0.00980398,0.00980398
101,5370.51,1.60985,1.18619,1.2092,0.7661,0.66613,0.74239,0.45804,0.91767,0.8461,0.86311,0.009802,0.009802,0.009802
102,5423.44,1.58493,1.18462,1.13699,0.73963,0.69707,0.74601,0.47068,0.91938,0.83831,0.87099,0.00980002,0.00980002,0.00980002
103,5476.54,1.5741,1.15664,1.18693,0.76705,0.66934,0.73521,0.46532,0.90552,0.82677,0.87813,0.00979804,0.00979804,0.00979804
104,5529.46,1.56412,1.09276,1.13861,0.75314,0.6681,0.7273,0.46098,0.90695,0.83811,0.87311,0.00979606,0.00979606,0.00979606
105,5582.56,1.57305,1.17694,1.18753,0.74884,0.69433,0.72828,0.46064,0.90769,0.82137,0.89421,0.00979408,0.00979408,0.00979408
106,5635.48,1.54107,1.14879,1.19124,0.72685,0.68991,0.7362,0.46465,0.90681,0.81093,0.89583,0.0097921,0.0097921,0.0097921
107,5688.5,1.55648,1.17988,1.14756,0.72714,0.69431,0.72994,0.47133,0.9134,0.85022,0.90125,0.00979012,0.00979012,0.00979012
108,5741.43,1.57757,1.17751,1.11379,0.74277,0.68292,0.72501,0.45785,0.91166,0.84228,0.88423,0.00978814,0.00978814,0.00978814
109,5794.54,1.52166,1.18978,1.13442,0.75365,0.69269,0.74792,0.46992,0.89267,0.84157,0.86593,0.00978616,0.00978616,0.00978616
110,5847.36,1.54554,1.16841,1.14233,0.72768,0.71828,0.75321,0.48376,0.89294,0.84076,0.85993,0.00978418,0.00978418,0.00978418
111,5901.19,1.56128,1.14064,1.16526,0.72651,0.69147,0.72466,0.46832,0.8981,0.85438,0.85859,0.0097822,0.0097822,0.0097822
112,5954.13,1.53545,1.11077,1.17153,0.77852,0.66644,0.73973,0.46365,0.8963,0.85453,0.86915,0.00978022,0.00978022,0.00978022
113,6007.04,1.54455,1.16171,1.12791,0.76149,0.67208,0.73645,0.46953,0.8921,0.86584,0.86615,0.00977824,0.00977824,0.00977824
114,6060.12,1.5748,1.13041,1.13679,0.76379,0.68364,0.74909,0.47606,0.89177,0.85805,0.86802,0.00977626,0.00977626,0.00977626
115,6113.09,1.54728,1.13152,1.17448,0.72366,0.68883,0.74801,0.4815,0.90588,0.85773,0.88169,0.00977428,0.00977428,0.00977428
116,6166.22,1.54825,1.10326,1.16938,0.73692,0.69701,0.74133,0.47859,0.89114,0.85194,0.87505,0.0097723,0.0097723,0.0097723
117,6219.2,1.56859,1.21812,1.12879,0.75249,0.6926,0.74563,0.47241,0.8819,0.85287,0.85389,0.00977032,0.00977032,0.00977032
118,6272.3,1.55786,1.15242,1.19062,0.72034,0.70926,0.74377,0.47781,0.88317,0.85499,0.85535,0.00976834,0.00976834,0.00976834
119,6325.16,1.56657,1.11477,1.17765,0.74802,0.70818,0.74823,0.48131,0.88625,0.84123,0.85426,0.00976636,0.00976636,0.00976636
120,6378.15,1.59728,1.16761,1.17541,0.73203,0.69277,0.73695,0.48382,0.90086,0.83851,0.86141,0.00976438,0.00976438,0.00976438
121,6431.04,1.55789,1.16311,1.14051,0.71673,0.69438,0.7378,0.48433,0.89415,0.84908,0.8535,0.0097624,0.0097624,0.0097624
122,6484,1.55682,1.20219,1.16591,0.68923,0.71004,0.73738,0.48424,0.88839,0.8368,0.85341,0.00976042,0.00976042,0.00976042
123,6536.92,1.53667,1.13034,1.15297,0.68574,0.70011,0.73348,0.47767,0.87766,0.83199,0.86161,0.00975844,0.00975844,0.00975844
124,6589.93,1.54993,1.0931,1.11556,0.686,0.70924,0.73524,0.4739,0.88896,0.82905,0.8628,0.00975646,0.00975646,0.00975646
125,6642.77,1.53154,1.11356,1.16843,0.70915,0.68619,0.7373,0.46512,0.89747,0.83049,0.87946,0.00975448,0.00975448,0.00975448
126,6695.68,1.51788,1.12614,1.14316,0.72598,0.68444,0.73769,0.4687,0.89379,0.81985,0.88325,0.0097525,0.0097525,0.0097525
127,6748.5,1.53076,1.18568,1.11193,0.70096,0.72233,0.73354,0.46678,0.89284,0.81715,0.88606,0.00975052,0.00975052,0.00975052
128,6801.43,1.57041,1.15295,1.15321,0.68458,0.72097,0.74052,0.47763,0.88782,0.80993,0.88471,0.00974854,0.00974854,0.00974854
129,6854.28,1.5461,1.13326,1.14847,0.75703,0.6592,0.73818,0.47888,0.8897,0.82261,0.87936,0.00974656,0.00974656,0.00974656
130,6907.21,1.5442,1.10344,1.11791,0.73959,0.67996,0.73561,0.4761,0.87874,0.8229,0.87208,0.00974458,0.00974458,0.00974458
131,6960.1,1.53655,1.109,1.17948,0.72652,0.70549,0.73808,0.47826,0.87671,0.8195,0.86847,0.0097426,0.0097426,0.0097426
132,7013.03,1.53282,1.14314,1.15729,0.73126,0.7058,0.73987,0.48043,0.86654,0.82546,0.86738,0.00974062,0.00974062,0.00974062
133,7065.87,1.5557,1.11178,1.11918,0.71495,0.70973,0.73965,0.48067,0.8758,0.82661,0.86589,0.00973864,0.00973864,0.00973864
134,7118.89,1.58486,1.15095,1.19927,0.72085,0.70964,0.74055,0.47197,0.89229,0.82768,0.85777,0.00973666,0.00973666,0.00973666
135,7171.73,1.54975,1.16989,1.13811,0.72101,0.71176,0.74121,0.47922,0.87815,0.8252,0.85075,0.00973468,0.00973468,0.00973468
136,7224.61,1.55078,1.11508,1.19488,0.71935,0.70836,0.74434,0.47688,0.88498,0.82262,0.851,0.0097327,0.0097327,0.0097327
137,7277.61,1.52677,1.05207,1.16285,0.71352,0.7162,0.73741,0.48142,0.88285,0.81745,0.86817,0.00973072,0.00973072,0.00973072
138,7330.52,1.56727,1.12156,1.15243,0.75034,0.71159,0.74353,0.4827,0.88065,0.81403,0.86764,0.00972874,0.00972874,0.00972874
139,7383.52,1.54093,1.08323,1.12423,0.74951,0.70657,0.74271,0.48343,0.88181,0.80821,0.86574,0.00972676,0.00972676,0.00972676
140,7436.39,1.55873,1.10408,1.17705,0.75529,0.70687,0.74637,0.48481,0.87475,0.81192,0.86692,0.00972478,0.00972478,0.00972478
141,7490.17,1.50995,1.03407,1.13999,0.7606,0.71133,0.75075,0.48801,0.87495,0.80644,0.86569,0.0097228,0.0097228,0.0097228
142,7543.81,1.55312,1.13716,1.14095,0.74926,0.71663,0.76556,0.49123,0.87404,0.80526,0.86512,0.00972082,0.00972082,0.00972082
143,7597.55,1.53268,1.14659,1.1567,0.73555,0.72277,0.75551,0.49081,0.87368,0.8052,0.86486,0.00971884,0.00971884,0.00971884
