class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
1,41.93574429,8.59512874,0.529,100.5,14.4,96.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.98042404,8.64700802,0.527,56.7,11.0,41.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,42.04413711,8.72965374,0.516,29.3,8.8,168.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.93604363,8.59453382,0.504,109.7,16.3,93.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.87408591,8.74362966,0.484,82.4,17.1,90.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.7821557,8.71522608,0.44,40.8,10.7,141.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.83167971,8.75346413,0.425,45.5,9.8,123.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.90061583,8.68004184,0.414,117.6,21.6,11.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.88930151,8.73551288,0.404,137.6,24.5,92.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
1,41.82670961,8.72899589,0.404,49.7,15.5,61.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.83777997,8.75112214,0.8,78.1,15.0,142.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.87732802,8.64205127,0.798,112.9,31.0,154.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.87564398,8.72108514,0.797,195.4,49.1,31.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.92539624,8.74141723,0.785,157.7,34.9,177.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.73199214,8.77210245,0.753,74.9,14.1,41.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.92864623,8.75332587,0.729,65.5,15.2,11.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.80574863,8.72645557,0.662,60.3,12.4,113.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.89207015,8.60377874,0.645,173.9,42.2,161.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.84208068,8.68040691,0.623,216.0,41.0,133.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.8976369,8.68386797,0.62,80.3,21.3,176.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
0,41.75177773,8.67859844,0.421,63.9,16.4,92.0,20190718,19,19_20190718_3e7839dc-2ca6-4cc6-8f38-8457242b7342
